C1_0h  C1_24h_In/C1_24h_Un C1_48h_In/C1_48h_Un	C2_0h  C2_24h_In/C2_24h_Un C2_48h_In/C2_48h_Un	WT_0h  WT_24h_In/WT_24h_Un WT_48h_In/WT_48h_Un	Gene_Name                 Gene_Info 
 1.33                 0.87                1.10	 0.67                 0.57                1.58	 2.00                 1.00                1.43	TcIL3000.A.H_000159700.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.33                1.00	TcIL3000.A.H_000159800.1  Endonuclease-reverse transcriptase, putative
17.00                 1.02                0.68	13.67                 0.92                0.99	22.00                 0.83                0.88	TcIL3000.A.H_000159900.1  expression site-associated gene 2 (ESAG2) protein, putative
36.33                 0.78                0.94	49.67                 1.07                1.32	85.00                 0.94                1.84	TcIL3000.A.H_000160000.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.33                 0.75                0.60	 0.00                 0.75                1.33	TcIL3000.A.H_000160100.1  expression site-associated gene (ESAG) protein, putative
 0.00                 1.33                1.37	10.00                 0.90                0.89	 6.67                 1.82                1.92	TcIL3000.A.H_000160200.1  expression site-associated gene (ESAG) protein, putative
 0.00                 0.72                1.40	 7.33                 1.00                1.07	 5.00                 1.54                1.31	TcIL3000.A.H_000160300.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 1.33                 2.33                1.67	 0.67                 0.43                2.33	TcIL3000.A.H_000160400.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000160500.1  hypothetical protein
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 1.33                 0.60                2.00	TcIL3000.A.H_000160600.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.67                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000160700.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 0.60                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000160800.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.67                 0.80                1.50	 0.00                 0.27                0.60	 0.67                 1.00                1.00	TcIL3000.A.H_000160900.1  Trypanosomal VSG domain containing protein, putative
24.67                 0.80                1.37	21.00                 0.80                0.51	17.33                 1.24                1.52	TcIL3000.A.H_000161000.1  Heat shock protein 83, putative
24.00                 1.17                0.99	23.33                 0.94                1.26	19.33                 1.17                1.03	TcIL3000.A.H_000161100.1  Heat shock protein 83, putative
 3.33                 0.75                0.36	 1.33                 1.43                1.44	 2.67                 1.09                1.09	TcIL3000.A.H_000161200.1  Hsp90 protein, putative
 1.67                 0.93                2.00	 1.67                 1.25                1.67	 5.00                 1.67                0.89	TcIL3000.A.H_000161300.1  Hsp90 protein, putative
 0.00                 1.12                0.80	 0.67                 1.00                1.67	 0.33                 0.60                1.00	TcIL3000.A.H_000161400.1  hypothetical protein
 2.67                 1.86                1.00	 2.00                 1.00                0.82	 1.33                 0.50                1.00	TcIL3000.A.H_000161500.1  Hsp90 protein, putative
 4.67                 1.06                1.10	 7.33                 0.91                1.04	 7.33                 0.81                1.21	TcIL3000.A.H_000161600.1  Hsp90 protein, putative
 2.00                 1.29                1.22	 0.00                 1.40                0.43	 0.00                 2.33                1.67	TcIL3000.A.H_000161700.1  Endonuclease-reverse transcriptase, putative
 0.00                 1.00                0.60	 0.00                 1.67                1.26	 1.33                 0.60                0.60	TcIL3000.A.H_000161800.1  Endonuclease-reverse transcriptase, putative
 0.67                 1.17                1.29	 0.67                 0.43                0.72	 0.00                 0.60                1.33	TcIL3000.A.H_000161900.1  Endonuclease-reverse transcriptase, putative
 0.00                 0.57                0.60	 0.00                 1.00                1.00	 0.33                 1.20                1.00	TcIL3000.A.H_000162000.1  Endonuclease-reverse transcriptase, putative
11.33                 1.50                0.78	11.00                 0.53                1.31	 6.33                 0.80                1.07	TcIL3000.A.H_000162100.1  2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000162200.1  hypothetical protein, conserved
 0.00                 1.00                0.60	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000162300.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.67	 0.00                 1.00                1.00	TcIL3000.A.H_000162400.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 0.43                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000162500.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000162600.1  hypothetical protein
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000162700.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 1.33                 3.67                1.00	TcIL3000.A.H_000162800.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.67                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000162900.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000163000.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                0.60	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000163100.1  Helicase associated domain (HA2), putative
 0.00                 1.75                4.33	 3.00                 1.17                1.00	 0.67                 1.00                1.00	TcIL3000.A.H_000163200.1  Adenylate and Guanylate cyclase catalytic domain containing protein, putative
 0.00                 1.00                0.60	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000163300.1  hypothetical protein
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000163400.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000163500.1  expression site-associated gene 3 (ESAG3)-like protein
 0.00                 0.75                0.80	 0.67                 1.50                1.00	 0.00                 1.33                1.67	TcIL3000.A.H_000163600.1  hypothetical protein, conserved
 1.33                 2.80                0.56	 4.67                 0.69                0.60	 2.67                 1.40                2.59	TcIL3000.A.H_000163700.1  PIN domain containing protein, putative
 2.00                 0.46                0.63	 1.33                 0.58                0.87	 1.67                 0.55                1.30	TcIL3000.A.H_000163800.1  PIN domain containing protein, putative
 2.00                 1.15                0.67	 4.67                 1.72                2.00	 4.67                 1.50                4.19	TcIL3000.A.H_000163900.1  glutaredoxin, putative
 0.67                 0.56                0.39	 0.00                 1.00                0.43	 0.67                 0.60                1.00	TcIL3000.A.H_000164000.1  conserved protein, unknown function
 1.33                 1.25                0.60	 0.67                 1.00                0.50	 0.00                 0.56                1.15	TcIL3000.A.H_000164100.1  hypothetical protein, conserved
 0.00                 1.00                1.67	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000164200.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000164300.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.67	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000164400.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000164500.1  Endonuclease-reverse transcriptase, putative
 0.00                 1.60                1.67	 0.00                 1.00                1.00	 0.67                 1.26                0.43	TcIL3000.A.H_000164600.1  Endonuclease-reverse transcriptase, putative
 8.33                 0.80                1.07	17.67                 0.67                0.80	20.67                 0.86                1.39	TcIL3000.A.H_000164700.1  Heat shock protein 83, putative
23.33                 0.96                0.88	27.67                 0.74                1.18	27.00                 1.20                1.07	TcIL3000.A.H_000164800.1  Heat shock protein 83, putative
22.00                 1.28                0.92	25.00                 0.87                0.91	22.00                 0.93                1.30	TcIL3000.A.H_000164900.1  Heat shock protein 83, putative
16.33                 1.07                1.29	23.67                 0.72                0.71	16.67                 0.79                1.23	TcIL3000.A.H_000165000.1  Heat shock protein 83, putative
19.00                 1.45                0.71	19.67                 0.90                1.60	30.67                 0.95                2.79	TcIL3000.A.H_000165100.1  Heat shock protein 83, putative
13.33                 1.38                1.17	19.00                 0.79                1.39	19.00                 0.79                1.20	TcIL3000.A.H_000165200.1  Heat shock protein 83, putative
21.33                 1.06                0.89	29.67                 0.75                0.97	25.67                 0.71                1.85	TcIL3000.A.H_000165300.1  Heat shock protein 83, putative
 8.00                 0.98                1.38	10.33                 1.09                0.92	13.00                 2.20                1.36	TcIL3000.A.H_000165400.1  Heat shock protein 83, putative
 6.33                 0.54                1.92	 4.33                 2.22                1.21	10.00                 1.93                2.33	TcIL3000.A.H_000165500.1  Hsp90 protein, putative
 3.00                 1.31                2.78	 6.00                 0.40                0.39	 5.00                 0.69                1.00	TcIL3000.A.H_000165600.1  retrotransposon hot spot (RHS) protein, putative
 2.00                 0.92                0.56	 7.00                 1.00                0.54	 1.33                 0.56                1.12	TcIL3000.A.H_000165700.1  retrotransposon hot spot (RHS) protein, putative
38.33                 1.05                0.90	42.00                 1.43                0.61	36.67                 1.12                1.19	TcIL3000.A.H_000165800.1  lysosomal/endosomal membrane protein p67
 2.67                 1.22                1.00	 4.00                 1.37                1.44	 0.33                 1.33                2.20	TcIL3000.A.H_000165900.1  hypothetical protein, conserved
 5.33                 0.62                1.19	 8.00                 0.94                1.08	 5.00                 1.17                2.99	TcIL3000.A.H_000166000.1  hypothetical protein, conserved
 6.67                 1.25                0.77	 8.00                 0.66                0.71	 3.67                 0.75                1.15	TcIL3000.A.H_000166100.1  hypothetical protein, conserved
67.33                 0.94                1.27	81.33                 0.82                1.13	51.67                 1.17                1.59	TcIL3000.A.H_000166200.1  lysosomal/endosomal membrane protein p67
 2.00                 2.59                1.83	 2.00                 0.73                1.58	 0.00                 3.67                0.67	TcIL3000.A.H_000166300.1  hypothetical protein, conserved
 1.33                 0.83                1.00	 0.00                 1.00                1.00	 3.00                 1.00                1.00	TcIL3000.A.H_000166400.1  hypothetical protein
 1.67                 1.00                1.75	 0.00                 1.00                1.75	 2.67                 0.78                1.67	TcIL3000.A.H_000166500.1  hypothetical protein
 1.33                 2.43                1.25	 4.00                 1.67                1.20	 1.00                 1.67                1.21	TcIL3000.A.H_000166600.1  hypothetical protein, conserved
 0.67                 0.75                0.75	 1.33                 0.50                1.29	 1.67                 0.86                1.50	TcIL3000.A.H_000166700.1  hypothetical protein
 3.00                 2.60                1.31	 5.67                 1.28                1.05	 2.00                 0.73                1.11	TcIL3000.A.H_000166800.1  hypothetical protein, conserved
 2.00                 1.60                0.72	 1.33                 0.43                0.67	 2.67                 0.40                1.00	TcIL3000.A.H_000166900.1  hypothetical protein
 0.00                 0.60                2.00	 0.00                 0.60                1.33	 0.67                 1.67                0.60	TcIL3000.A.H_000167000.1  hypothetical protein
91.00                 1.25                0.82	98.67                 0.74                0.92	94.33                 0.91                1.39	TcIL3000.A.H_000167100.1  lysosomal/endosomal membrane protein p67
38.00                 0.88                1.02	39.00                 1.44                1.28	36.33                 0.98                1.48	TcIL3000.A.H_000167200.1  60S acidic ribosomal protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000167300.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000167400.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000167500.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000167600.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                0.60	 0.00                 1.00                1.00	TcIL3000.A.H_000167700.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000167800.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000167900.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000168000.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000168100.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.67                 1.67                0.33	 0.67                 1.00                2.33	TcIL3000.A.H_000168200.1  Trypanosomal VSG domain containing protein, putative
 0.67                 0.50                1.00	 0.67                 0.75                1.26	 0.00                 1.20                0.60	TcIL3000.A.H_000168300.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000168400.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.33                 1.00                1.00	TcIL3000.A.H_000168500.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000168600.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.67	TcIL3000.A.H_000168700.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000168800.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000168900.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.67                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000169000.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000169100.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000169200.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.67                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000169300.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                0.60	 0.00                 1.67                1.00	TcIL3000.A.H_000169400.1  Trypanosomal VSG domain containing protein, putative
 2.67                 0.29                0.85	 5.33                 0.74                0.76	 4.00                 0.71                1.78	TcIL3000.A.H_000169500.1  retrotransposon hot spot (RHS) protein, putative
 2.00                 0.78                0.50	 2.00                 1.20                1.29	 1.33                 1.83                1.17	TcIL3000.A.H_000169600.1  hypothetical protein, conserved
 3.33                 0.93                1.67	 4.33                 1.11                0.75	 4.33                 0.65                1.87	TcIL3000.A.H_000169700.1  retrotransposon hot spot (RHS) protein, putative
 0.00                 1.75                0.60	 0.00                 1.33                0.72	 0.00                 2.33                1.67	TcIL3000.A.H_000169800.1  hypothetical protein, conserved
 0.00                 2.33                0.72	 2.67                 0.60                0.72	 0.00                 2.33                1.00	TcIL3000.A.H_000169900.1  retrotransposon hot spot (RHS) protein, putative
 0.00                 0.60                1.67	 0.00                 0.60                1.00	 0.00                 1.00                0.60	TcIL3000.A.H_000170000.1  Retrotransposon hot spot protein, putative
 0.00                 1.00                0.78	 0.67                 0.86                1.00	 2.67                 0.54                5.33	TcIL3000.A.H_000170100.1  retrotransposon hot spot (RHS) protein, putative
 0.00                 1.00                0.60	 0.00                 1.00                1.00	 0.67                 1.00                1.00	TcIL3000.A.H_000170200.1  hypothetical protein, conserved
 4.67                 0.94                1.08	 3.00                 0.57                1.70	 7.67                 2.12                1.78	TcIL3000.A.H_000170300.1  hypothetical protein, conserved
 2.00                 0.60                1.46	 6.00                 1.08                0.53	 4.67                 0.83                0.83	TcIL3000.A.H_000170400.1  hypothetical protein, conserved
 8.33                 0.79                0.90	 8.33                 0.88                1.10	 6.67                 1.43                0.88	TcIL3000.A.H_000170500.1  Myosin-like protein
15.67                 1.32                0.84	16.67                 1.29                0.84	16.00                 1.22                1.15	TcIL3000.A.H_000170600.1  Trypanosomal VSG domain containing protein, putative
28.00                 1.20                1.32	22.33                 0.65                1.08	51.67                 1.00                1.72	TcIL3000.A.H_000170700.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000170800.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.33                0.80	 0.33                 1.00                1.00	 0.67                 0.60                1.00	TcIL3000.A.H_000170900.1  expression site-associated gene 2 (ESAG2) protein, putative
 1.33                 3.00                0.87	 0.67                 1.29                1.40	 0.00                 0.50                0.56	TcIL3000.A.H_000171000.1  hypothetical protein
 9.33                 1.44                0.52	 9.67                 0.75                0.96	 7.00                 1.32                1.78	TcIL3000.A.H_000171100.1  mitochondrial ATP-dependent zinc metallopeptidase, putative
 4.00                 0.76                3.29	 0.67                 0.58                1.17	 2.00                 2.00                2.15	TcIL3000.A.H_000171200.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 0.60                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000171300:tRNA unspecified product
 0.00                 1.00                1.00	 0.67                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000171400:tRNA unspecified product
 0.00                 1.00                1.00	 0.33                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000171500:tRNA unspecified product
 4.67                 1.28                1.11	10.67                 0.74                0.64	 8.67                 0.71                1.00	TcIL3000.A.H_000171600.1  Trypanosomal VSG domain containing protein, putative
 4.67                 1.29                1.00	 2.67                 2.99                0.63	 4.00                 0.82                1.18	TcIL3000.A.H_000171700.1  expression site-associated gene 2 (ESAG2) protein, putative
 1.33                 2.00                1.58	 1.33                 2.67                0.47	 0.67                 0.56                2.26	TcIL3000.A.H_000171800.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.33	 0.00                 1.00                1.00	 0.00                 0.75                1.00	TcIL3000.A.H_000171900:tRNA unspecified product
 0.00                 1.67                1.00	 0.67                 1.00                0.60	 0.00                 0.75                1.00	TcIL3000.A.H_000172000:tRNA unspecified product
 0.00                 1.33                1.00	 0.67                 1.00                0.60	 0.00                 1.00                1.00	TcIL3000.A.H_000172100:tRNA unspecified product
 0.00                 1.00                0.60	 0.00                 0.75                1.33	 0.00                 1.00                1.33	TcIL3000.A.H_000172200:tRNA unspecified product
 1.33                 2.00                1.80	 0.67                 0.67                0.56	 0.00                 1.18                0.78	TcIL3000.A.H_000172300.1  ubiquitin-conjugating enzyme E2, putative
 1.33                 1.43                0.61	 4.00                 0.63                0.79	 6.67                 0.82                0.70	TcIL3000.A.H_000172400.1  Lipase (class 3), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000172500.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000172600.1  expression site-associated gene 3 (ESAG3)-like protein
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000172700.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000172800.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.67                 1.00                0.72	 0.67                 0.72                1.58	 0.67                 0.60                1.20	TcIL3000.A.H_000172900.1  Trypanosomal VSG domain containing protein, putative
 2.00                 1.40                0.60	 2.00                 0.23                1.00	 2.67                 0.78                1.15	TcIL3000.A.H_000173000.1  Adenylate and Guanylate cyclase catalytic domain containing protein, putative
12.00                 1.08                1.11	10.00                 1.04                1.12	 9.33                 0.82                1.23	TcIL3000.A.H_000173100.1  amino acid transporter AATP5
 7.00                 0.78                1.93	 5.33                 1.18                0.61	 2.33                 0.55                1.78	TcIL3000.A.H_000173200.1  amino acid transporter AATP5
 2.00                 0.71                0.50	 1.33                 2.15                0.80	 0.67                 1.29                0.93	TcIL3000.A.H_000173300.1  amino acid transporter 8, putative
 3.67                 0.81                1.00	 4.00                 0.33                0.51	 4.00                 0.43                1.18	TcIL3000.A.H_000173400.1  amino acid transporter AATP5
12.00                 1.03                1.50	 4.67                 1.20                1.83	 7.00                 0.82                1.65	TcIL3000.A.H_000173500.1  amino acid transporter AATP5
10.00                 2.85                1.22	 8.67                 0.96                1.65	 6.67                 0.53                1.03	TcIL3000.A.H_000173600.1  amino acid transporter AATP5
10.67                 1.54                1.36	10.67                 1.00                0.64	 8.00                 1.03                1.10	TcIL3000.A.H_000173700.1  amino acid transporter AATP5
 2.67                 2.58                1.00	 3.00                 0.50                0.78	 2.67                 0.58                0.80	TcIL3000.A.H_000173800.1  amino acid transporter 8, putative
 0.00                 1.00                1.67	 0.67                 1.00                0.60	 0.00                 1.00                0.75	TcIL3000.A.H_000173900.1  amino acid transporter 8, putative
 1.33                 1.15                0.89	 4.67                 1.83                0.78	 0.67                 0.43                1.00	TcIL3000.A.H_000174000.1  retrotransposon hot spot (RHS) protein, putative
 0.00                 1.33                2.33	 0.00                 1.00                1.67	 0.00                 1.00                1.00	TcIL3000.A.H_000174100.1  hypothetical protein, conserved
 3.00                 1.20                1.67	 3.00                 0.75                0.46	 2.67                 1.00                0.57	TcIL3000.A.H_000174200.1  hypothetical protein, conserved
 1.33                 1.80                1.60	 1.00                 0.83                1.11	 2.67                 0.50                1.00	TcIL3000.A.H_000174300.1  hypothetical protein, conserved
 7.00                 1.08                0.54	 9.00                 1.08                0.60	15.00                 0.78                1.68	TcIL3000.A.H_000174400.1  retrotransposon hot spot (RHS) protein, putative
 6.00                 1.10                1.25	 6.67                 1.12                0.74	 2.67                 0.70                1.39	TcIL3000.A.H_000174500.1  retrotransposon hot spot (RHS) protein, putative
 0.00                 0.72                1.00	 2.67                 1.29                0.73	 2.33                 1.80                0.60	TcIL3000.A.H_000174600.1  retrotransposon hot spot (RHS) protein, putative
 2.67                 0.50                1.00	 0.67                 2.50                1.00	 1.33                 0.80                1.00	TcIL3000.A.H_000174700.1  Retrotransposon hot spot protein, putative
 0.67                 1.67                1.67	 0.00                 1.00                1.00	 0.00                 1.67                1.00	TcIL3000.A.H_000174800.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                0.60	 0.00                 1.67                0.60	 0.00                 1.00                1.00	TcIL3000.A.H_000174900.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000175000.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000175100.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.67	 0.00                 1.00                1.00	TcIL3000.A.H_000175200.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.67                0.60	 0.00                 0.60                1.00	 0.00                 1.67                1.00	TcIL3000.A.H_000175300.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000175400.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000175500.1  expression site-associated gene 3 (ESAG3)-like protein
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000175600.1  hypothetical protein, conserved
 0.67                 2.00                0.50	 0.67                 1.40                1.00	 0.00                 2.33                1.50	TcIL3000.A.H_000175700.1  Retrotransposon hot spot protein, putative
 1.33                 1.11                0.45	 2.00                 3.01                0.91	 2.67                 0.67                0.50	TcIL3000.A.H_000175800.1  hypothetical protein, conserved
12.33                 1.10                1.26	18.33                 0.86                0.92	13.00                 1.13                2.26	TcIL3000.A.H_000175900.1  retrotransposon hot spot (RHS) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000176000.1  expression site-associated gene (ESAG) protein, putative
 0.00                 1.00                1.00	 0.00                 1.67                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000176100.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000176200.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000176300.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000176400.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000176500.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000176600.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000176700.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000176800.1  hypothetical protein, conserved
 1.33                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 0.60                1.00	TcIL3000.A.H_000176900.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000177000.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000177100.1  expression site-associated gene 2 (ESAG2) protein, putative
 1.33                 1.50                1.29	 3.33                 1.27                0.77	 0.00                 0.56                1.00	TcIL3000.A.H_000177200.1  variant surface glycoprotein (VSG, atypical), putative
39.67                 1.16                0.97	45.00                 1.05                0.94	41.00                 1.01                1.83	TcIL3000.A.H_000177300.1  heat shock 70 kDa protein, putative
 3.67                 0.71                0.30	 3.33                 0.36                2.76	 2.00                 0.50                2.50	TcIL3000.A.H_000177400.1  chaperone protein DNAj, putative
 2.67                 1.15                0.75	 1.33                 0.88                0.41	 7.67                 0.68                0.78	TcIL3000.A.H_000177500.1  retrotransposon hot spot (RHS) protein, putative
 0.00                 1.00                0.60	 0.00                 1.00                1.00	 0.67                 1.00                1.00	TcIL3000.A.H_000177600.1  hypothetical protein, conserved
 0.67                 1.67                1.25	 3.33                 1.80                0.60	 3.33                 0.91                4.33	TcIL3000.A.H_000177700.1  retrotransposon hot spot (RHS) protein, putative
 2.00                 1.67                0.60	 0.00                 0.43                1.67	 0.00                 0.72                1.00	TcIL3000.A.H_000177800.1  expression site-associated gene (ESAG) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.67                 1.00                1.00	TcIL3000.A.H_000177900.1  hypothetical protein, conserved
 4.00                 1.37                0.77	 5.67                 0.49                1.09	13.33                 1.95                1.63	TcIL3000.A.H_000178000.1  retrotransposon hot spot (RHS) protein, putative
